station_id,date,variable,value,unit,quality_flag
CLM-ATM-001,1991-01-01,surface_air_temperature,4.2,degC,good
CLM-ATM-001,1992-01-01,surface_air_temperature,4.5,degC,good
CLM-ATM-001,1993-01-01,surface_air_temperature,4.1,degC,good
CLM-ATM-001,2021-01-01,surface_air_temperature,5.4,degC,good
CLM-ATM-001,2022-01-01,surface_air_temperature,5.7,degC,good
CLM-ATM-001,2023-01-01,surface_air_temperature,5.9,degC,good
CLM-ATM-002,2005-01-01,surface_air_temperature,6.1,degC,good
CLM-ATM-002,2014-01-01,surface_air_temperature,6.7,degC,review
CLM-ATM-002,2023-01-01,surface_air_temperature,7.5,degC,good
CLM-HYD-001,1995-01-01,river_stage,2.1,m,good
CLM-HYD-001,2023-01-01,river_stage,2.5,m,good
CLM-LAND-001,2012-01-01,soil_moisture,0.31,fraction,good
CLM-LAND-001,2023-01-01,soil_moisture,0.27,fraction,review
CLM-OCE-001,1991-01-01,sea_level,0.12,m,good
CLM-OCE-001,2023-01-01,sea_level,0.21,m,good
CLM-CRYO-001,1991-01-01,glacier_mass_balance,-0.20,m_water_equivalent,good
CLM-CRYO-001,2023-01-01,glacier_mass_balance,-0.82,m_water_equivalent,review
