telemetry_id,asset_id,timestamp,voltage_pu,frequency_hz,current_a,power_flow_mw,loading_percent,load_mw,available_supply_mw,allowed_voltage_deviation_pu,served_hours,required_service_hours,telemetry_reliability_score,data_quality_score,coverage_score,metadata_completeness_score,latency_seconds,quality_flag
TEL-SG-001,SG-GEN-001,2026-05-01T12:00:00Z,1.02,60.01,640,118,0.78,140,118,0.05,23.5,24,0.86,0.84,0.82,0.80,42,good
TEL-SG-002,SG-SUB-001,2026-05-01T12:00:00Z,0.98,59.99,720,105,0.88,112,105,0.05,22.5,24,0.84,0.82,0.78,0.76,55,review
TEL-SG-003,SG-FDR-001,2026-05-01T12:00:00Z,0.95,59.98,520,38,0.94,44,38,0.05,21.0,24,0.78,0.76,0.72,0.70,72,review
TEL-SG-004,SG-TRF-001,2026-05-01T12:00:00Z,0.94,59.97,610,21,0.96,25,21,0.05,20.5,24,0.74,0.72,0.68,0.64,88,review
TEL-SG-005,SG-BAT-001,2026-05-01T12:00:00Z,1.00,60.00,310,22,0.70,25,22,0.05,23.0,24,0.82,0.80,0.76,0.72,48,review
TEL-SG-006,SG-MTR-001,2026-05-01T12:00:00Z,1.01,60.00,0,0,0.50,0,0,0.05,22.8,24,0.70,0.68,0.66,0.62,118,review
TEL-SG-007,SG-EV-001,2026-05-01T12:00:00Z,0.96,59.98,220,4,0.89,5,4,0.05,21.5,24,0.76,0.74,0.70,0.66,80,review
TEL-SG-008,SG-DER-001,2026-05-01T12:00:00Z,0.97,60.01,180,16,0.82,20,16,0.05,22.0,24,0.78,0.76,0.72,0.68,74,review
TEL-SG-009,SG-MIC-001,2026-05-01T12:00:00Z,0.99,60.00,160,12,0.75,15,12,0.05,23.2,24,0.82,0.80,0.78,0.74,50,good
TEL-SG-010,SG-CTL-001,2026-05-01T12:00:00Z,1.00,60.00,0,0,0.40,0,0,0.05,23.0,24,0.80,0.78,0.74,0.70,60,review
